Column1,Column2,Column3,Column1,Column2,Column3,Column1,Column2,Column3,Column1,Column2,Column3
12929,3997,1732,12002,2981,1696,13989,2750,1789,16209,5266,1915
14401,4753,1830,15256,4613,1855,15853,4024,1918,14103,4304,1805
14983,3982,1831,16308,3770,1873,13894,3892,1784,13503,3556,1775
13706,3508,1699,15467,4459,1804,11638,3231,1675,16481,4016,1976
10454,2287,1608,9665,2785,1654,13338,3945,1814,14427,3750,1806
15895,4633,1912,14021,4047,1794,17265,4323,1937,15836,5078,1907
16699,3467,1965,12614,2753,1640,14513,2917,1823,12336,2761,1717
15761,4235,1854,12746,3612,1740,13746,3413,1761,15425,4549,1849
16393,4352,1905,11569,3632,1666,14208,4442,1908,15310,4619,1883
12018,2915,1663,13531,2995,1744,16014,3440,1897,13911,4122,1798
16306,5308,2019,14669,4749,1868,12737,2642,1664,16597,3648,1857
16829,4859,1971,12533,3817,1766,17063,4743,1970,15251,4827,1902
14756,4452,1904,15400,4653,1868,14344,4278,1905,14879,4735,1867
11690,3071,1670,14058,4026,1795,14298,4147,1895,12650,3613,1756
15091,4876,1912,13630,3635,1754,14359,3684,1797,13652,2662,1672
12958,3661,1740,16387,5086,1968,15573,4099,1885,10770,2376,1659
17112,3999,2010,12622,1769,1664,12515,2888,1723,14177,3753,1837
15276,3894,1807,16885,4353,1968,12907,4011,1728,16928,4893,2018
14457,4475,1902,15561,4499,1863,12917,4244,1797,15651,4578,1870
14214,4327,1745,12661,3652,1767,15447,3927,1847,16448,5350,1938
14537,3654,1775,16290,4685,1904,13649,3912,1832,12011,3837,1762
,13282,2440,1703,14074,4510,1843,14158,3892,1800
,12767,3863,1785,14144,4341,1872,12623,3758,1766
,15805,4424,1880,15536,4474,1921,12118,3810,1726
,,16014,4781,1965,17019,3779,1977
,,15411,4651,1944,17412,4174,1997
